algorithm,run,success,time,path_length,waypoints,nodes
Bi-RRT*,24,True,0.282,14.461,40,116
Bi-RRT*,25,True,0.227,14.814,40,100
Bi-RRT*,26,True,0.173,14.276,42,106
Bi-RRT*,27,True,0.168,14.456,39,90
Bi-RRT*,28,True,0.115,13.222,36,66
Bi-RRT*,29,True,0.302,15.692,39,120
Bi-RRT*,30,True,0.232,14.103,42,139
Bi-RRT*,31,True,0.156,13.738,38,96
Bi-RRT*,32,True,0.363,14.679,40,150
Bi-RRT*,33,True,0.125,13.446,42,81
Bi-RRT*,34,True,0.179,13.693,37,87
Bi-RRT*,35,True,0.293,13.585,37,128
Bi-RRT*,36,True,0.214,13.683,38,102
Bi-RRT*,37,True,0.142,13.542,40,101
Bi-RRT*,38,True,0.126,14.827,37,71
Bi-RRT*,39,True,0.158,13.574,37,89
Bi-RRT*,40,True,0.273,14.913,37,123
Bi-RRT*,41,True,0.281,13.675,33,129
Bi-RRT*,42,True,0.222,14.373,38,101
Bi-RRT*,43,True,0.444,13.62,39,170
Bi-RRT*,44,True,0.326,15.393,39,122
Bi-RRT*,45,True,0.187,14.861,40,94
Bi-RRT*,46,True,0.195,14.62,39,98
Bi-RRT*,47,True,0.234,13.976,38,112
Bi-RRT*,48,True,0.131,13.526,34,71
Bi-RRT*,49,True,0.177,13.955,36,88
Bi-RRT*,50,True,0.442,13.575,35,176
